symbol_or_asset,old,new,classification,intent,migration,verification
compile asset IntermediateRepresentationAbstractions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset InternalPreprocessorLexemesModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset LabelsModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset ListExtensions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset LocalVariablesOptimizerModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset LoopsModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset NativeMathModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset NumbersModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset ObjectExtensions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset ParametersSetterModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset SafeMathFunctionsModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset ScopesModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset SemicolonAsNewLineModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset SettableGettableModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalIntermediateRepresentation.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Capabilities.Abstractions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Capabilities.Core.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Diagnostics.Abstractions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Dialects.Abstractions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Dialects.Core.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Dialects.Frontend.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Dialects.Integration.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Dialects.Parsing.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Dialects.Wist.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.ExpressionTyping.Abstractions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset UniversalToolchain.Functions.Abstractions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset VariablesModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset VariablesRuntime.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset WhitespacesModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
UniversalToolchain.Dialects.Wist.Facade.*,public source/direct-reference runtime facade,internal implementation used only by reviewed friend assemblies,intentional_break,Close the low-level public policy bypass; UniversalToolchain.Wist is the supported facade.,Use UniversalToolchain.Wist.WistEngine. Advanced runtime composition is not a supported public alpha.2 contract.,WistBackendContractTests.LowLevelWistExecutionTypes_AreNotExportedPolicyBypasses
WistDialectExecutionConfiguration/Host/Workflow and compatibility backend extensions,public source/direct-reference API,internal implementation,intentional_break,Close arbitrary runtime composition and backend access below facade policy.,Use WistEngine with a validated WistDialectSource and WistEngineOptions.,WistBackendContractTests.LowLevelWistExecutionTypes_AreNotExportedPolicyBypasses
UniversalToolchain.Dialects.Integration.ToolchainRuntimeHost,public generic raw runtime host,internal runtime owner,intentional_break,Prevent policy bypass through a raw execution host.,Use the public language facade or a separately reviewed integration package; no compatibility shim is shipped.,WistBackendContractTests.LowLevelWistExecutionTypes_AreNotExportedPolicyBypasses
